Team,W,L,W/L%,GB,PS/G,PA/G
Milwaukee Bucks,31,5,0.861,0,119.4,106.5
Miami Heat,25,9,0.735,5,111.6,107.2
Boston Celtics,23,8,0.742,5.5,111.5,103.6
Toronto Raptors,23,12,0.657,7.5,110.5,105.3
Philadelphia 76ers,23,13,0.639,8,109.6,105.4
Indiana Pacers,22,13,0.629,8.5,109.3,105.9
Brooklyn Nets,16,17,0.485,13.5,110.6,111.7
Orlando Magic,15,19,0.441,15,103.4,104.6
Charlotte Hornets,14,23,0.378,17.5,103.9,110.6
Chicago Bulls,13,22,0.371,17.5,105.7,106.8
Detroit Pistons,12,23,0.343,18.5,108.4,111.4
Washington Wizards,10,23,0.303,19.5,116.2,121
Cleveland Cavaliers,10,24,0.294,20,104.4,113.2
New York Knicks,10,24,0.294,20,103.7,110.9
Atlanta Hawks,7,27,0.206,23,107.1,117.6
Los Angeles Lakers,27,7,0.794,0,112.6,105.3
Denver Nuggets,24,10,0.706,3,108.6,104.3
Los Angeles Clippers,25,11,0.694,3,115.3,108.3
Houston Rockets,23,11,0.676,4,119.4,114
Dallas Mavericks,22,12,0.647,5,116.5,108.9
Utah Jazz,22,12,0.647,5,107.9,105.6
Oklahoma City Thunder,19,15,0.559,8,108.3,107.1
San Antonio Spurs,14,19,0.424,12.5,113.1,114.8
Portland Trail Blazers,14,21,0.4,13.5,112,114.1
Minnesota Timberwolves,13,21,0.382,14,111.6,114.6
Phoenix Suns,13,21,0.382,14,114.1,115.1
Memphis Grizzlies,13,22,0.371,14.5,111.4,116.6
Sacramento Kings,13,22,0.371,14.5,105.6,108.7
New Orleans Pelicans,11,23,0.324,16,112.3,116.4
Golden State Warriors,9,27,0.25,19,105.3,113